column,english_description,exclusion_category,reason,dtype,missing_count,missing_pct
k9q96,Other Adult Child Can Rely On For Advice,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,15076,29.345
ace3,Child Experienced - Parent or Guardian Divorced,Target leakage,ACE_HIGH를 직접 계산하는 변수이므로 X 사용 금지,float64,1823,3.5484
ace4,Child Experienced - Parent or Guardian Died,Target leakage,ACE_HIGH를 직접 계산하는 변수이므로 X 사용 금지,float64,1885,3.6691
ace5,Child Experienced - Parent or Guardian Time in Jail,Target leakage,ACE_HIGH를 직접 계산하는 변수이므로 X 사용 금지,float64,1973,3.8404
ace6,"Child Experienced - Adults Slap, Hit, Kick, Punch Others",Target leakage,ACE_HIGH를 직접 계산하는 변수이므로 X 사용 금지,float64,1972,3.8384
ace7,Child Experienced - Victim of Violence,Target leakage,ACE_HIGH를 직접 계산하는 변수이므로 X 사용 금지,float64,1942,3.78
ace8,Child Experienced - Lived with Mentally Ill,Target leakage,ACE_HIGH를 직접 계산하는 변수이므로 X 사용 금지,float64,1969,3.8326
ace9,Child Experienced - Lived with Person with Alcohol/Drug Problem,Target leakage,ACE_HIGH를 직접 계산하는 변수이므로 X 사용 금지,float64,2013,3.9182
ace10,Child Experienced - Treated Unfairly Because of Race,Target leakage,ACE_HIGH를 직접 계산하는 변수이므로 X 사용 금지,float64,2010,3.9124
ace11,Child Experienced - Treated Unfairly Because of Health Condition,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,1872,3.6438
videophone,Virtual Health Care Visits,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,1687,3.2837
a1_deplstat,Adult 1 - Deployment Status,결측치 과다,결측 비율이 50% 이상,float64,49136,95.6418
a2_deplstat,Adult 2 - Deployment Status,결측치 과다,결측 비율이 50% 이상,float64,48869,95.1221
allergies_desc,Allergies Severity Description,결측치 과다,결측 비율이 50% 이상,float64,38581,75.0968
