screen_rank,column,domain,nonmissing_count,missing_rate,category_count,test_method,chi_square,p_value,effect_size,rf_importance,effect_rank,rf_rank,combined_rank,significant_0_05
74,k7q02r_r,학교·사회생활,8709,0.24799240134703393,6,카이제곱 검정 / Cramér's V,32.21074075087657,5.396788541761128e-06,0.060815770158523394,0.004347005804335742,110.0,55.0,165.0,True
75,k7q30,학교·사회생활,8703,0.24851049132199288,2,카이제곱 검정 / Cramér's V,46.598978284633944,8.710565656437898e-12,0.07317347928152396,0.003397811803443876,88.0,77.0,165.0,True
76,k10q31,주거·동네·경제,11525,0.004835506432950498,4,카이제곱 검정 / Cramér's V,47.158631580697026,3.2157822958696676e-10,0.06396761082585184,0.0037327384143564664,101.0,65.0,166.0,True
77,k10q40_r,주거·동네·경제,11526,0.004749158103790729,4,카이제곱 검정 / Cramér's V,71.16604903068412,2.401840326734918e-15,0.07857730329635111,0.0031387766338714087,81.0,86.0,167.0,True
78,arrangehc,기타 설문 항목,11532,0.004231068128831672,5,카이제곱 검정 / Cramér's V,122.17015187687953,1.8368589553803463e-25,0.10292721931693431,0.002284649411113975,54.0,113.0,167.0,True
79,engage_picky,기타 설문 항목,8710,0.24790605301787405,2,카이제곱 검정 / Cramér's V,41.53754885044461,1.1562857554026974e-10,0.069057579970423,0.0033789744560457097,91.0,78.0,169.0,True
80,k6q71_r,건강·의료 관련,11543,0.0032812365080735484,4,카이제곱 검정 / Cramér's V,48.107825536080625,2.0198907134596328e-10,0.06455776934083636,0.0034061714762283345,99.0,76.0,175.0,True
81,cavities,기타 설문 항목,11540,0.003540281495553077,2,카이제곱 검정 / Cramér's V,72.18998393513687,1.9544524782816018e-17,0.07909254825974336,0.0029501118831639127,80.0,96.0,176.0,True
82,k8q21,학교·사회생활,8711,0.24781970468871428,4,카이제곱 검정 / Cramér's V,59.69172760604425,6.840757706558757e-13,0.08277955117793617,0.002565692637720628,75.0,102.0,177.0,True
83,k2q30a,건강·의료 관련,11535,0.003972023141352254,2,카이제곱 검정 / Cramér's V,126.61850123594412,2.2514824084888832e-29,0.10477068535330535,0.001967126738362136,53.0,124.0,177.0,True
84,k5q20_r,건강·의료 관련,10116,0.1265003022191521,3,카이제곱 검정 / Cramér's V,30.045208081879167,2.990652556821001e-07,0.05449833042548731,0.003749926504623139,114.0,64.0,178.0,True
85,physactiv,생활습관,8705,0.24833779466367323,4,카이제곱 검정 / Cramér's V,16.458716266127084,0.0009130438585658434,0.043482408474799755,0.0040035079311038025,129.0,60.0,189.0,True
86,k4q20r,건강·의료 관련,10193,0.11985148087384512,3,카이제곱 검정 / Cramér's V,40.21116004101742,1.854631114984824e-09,0.06280905929921052,0.0031825589507700155,106.0,84.0,190.0,True
87,k8q11,학교·사회생활,11565,0.001381573266557301,4,카이제곱 검정 / Cramér's V,21.73825458233557,7.39440702148074e-05,0.0433550325619873,0.003948007942627398,130.0,61.0,191.0,True
88,recevalfasd,기타 설문 항목,11527,0.0046628097746308494,3,카이제곱 검정 / Cramér's V,113.1281845954491,2.719736572103951e-25,0.09906660097340823,0.001690646076407909,58.0,134.0,192.0,True
89,k5q40,건강·의료 관련,10119,0.12624125723167257,4,카이제곱 검정 / Cramér's V,32.801479131860575,3.546645620986078e-07,0.056934815290812096,0.0032476713261784234,112.0,83.0,195.0,True
90,k5q41,건강·의료 관련,10095,0.12831361713150846,4,카이제곱 검정 / Cramér's V,44.15995597627335,1.3956039039317839e-09,0.06613953758923939,0.0027385136452035335,98.0,98.0,196.0,True
91,athomehc,기타 설문 항목,11525,0.004835506432950498,5,카이제곱 검정 / Cramér's V,95.27112979774272,9.979091083041019e-20,0.09092015986853508,0.0018748009235300977,68.0,129.0,197.0,True
92,cuthours,기타 설문 항목,11516,0.005612641395388973,2,카이제곱 검정 / Cramér's V,106.5246752931176,5.658355174850609e-25,0.09617767659525799,0.0016067183005166828,62.0,136.0,198.0,True
93,k6q15,건강·의료 관련,11559,0.0018996632415162473,2,카이제곱 검정 / Cramér's V,79.0877762197656,5.941078855822636e-19,0.08271695720907944,0.0020489272774224304,77.0,123.0,200.0,True
94,k7q33,학교·사회생활,8694,0.24928762628443135,5,카이제곱 검정 / Cramér's V,41.03739648516323,2.6403322044176486e-08,0.06870369301068247,0.0024006989348587526,92.0,109.0,201.0,True
95,hospitaler,기타 설문 항목,11556,0.002158708228995776,4,카이제곱 검정 / Cramér's V,69.40720894536067,5.7172302716985745e-15,0.07749943274357808,0.00212788102532638,83.0,122.0,205.0,True
96,k2q36a,건강·의료 관련,11536,0.0038856748121923745,2,카이제곱 검정 / Cramér's V,75.36679639089685,3.909087766372971e-18,0.08082810628859978,0.0017991927083327855,79.0,130.0,209.0,True
97,k4q27,건강·의료 관련,11555,0.002245056558155545,2,카이제곱 검정 / Cramér's V,116.46093531725711,3.767271277996851e-27,0.10039339983807592,0.0010780525514967226,57.0,153.0,210.0,True
98,k3q21b,기타 설문 항목,8749,0.24453846818064073,4,카이제곱 검정 / Cramér's V,12.413182563716965,0.006093836659015777,0.037667115442370704,0.0034622672101031317,137.0,75.0,212.0,True
99,k5q43,건강·의료 관련,10101,0.12779552715654952,4,카이제곱 검정 / Cramér's V,44.91668377006662,9.637732407032677e-10,0.06668400212939184,0.0022739652413814077,97.0,115.0,212.0,True
100,bmiclass,기타 설문 항목,8265,0.28633105949399884,4,카이제곱 검정 / Cramér's V,14.85055831336889,0.001948914565905943,0.04238868674384692,0.0032715468617214496,131.0,82.0,213.0,True
101,k4q36,건강·의료 관련,11332,0.02150073396079788,2,카이제곱 검정 / Cramér's V,52.252484638863926,4.880415057743303e-13,0.06790475555985889,0.0021528001309826243,93.0,120.0,213.0,True
102,dentalserv6,건강·의료 관련,10471,0.09584664536741216,2,카이제곱 검정 / Cramér's V,16.131070712701,5.9106349152387727e-05,0.03924980628914203,0.00328250741383911,134.0,80.0,214.0,True
103,k10q41_r,주거·동네·경제,8689,0.24971936793023053,4,카이제곱 검정 / Cramér's V,46.67935198361202,4.06660228169203e-10,0.073295533547908,0.0019355576939331593,87.0,128.0,215.0,True
104,k5q42,건강·의료 관련,10088,0.1289180554356273,4,카이제곱 검정 / Cramér's V,38.57242367768523,2.1381292392465187e-08,0.06183522243922447,0.002442323928336202,108.0,108.0,216.0,True
105,k4q24_r,건강·의료 관련,11549,0.002763146533114602,3,카이제곱 검정 / Cramér's V,46.332876949368796,8.688475985626781e-11,0.06333918095666276,0.002277597992057837,102.0,114.0,216.0,True
106,moves,주거·동네·경제,11533,0.004144719799671903,3,카이제곱 검정 / Cramér's V,76.73383839227859,2.1749972164777562e-17,0.08156846987181199,0.0015889729490598777,78.0,138.0,216.0,True
107,k4q04_r,건강·의료 관련,11543,0.0032812365080735484,3,카이제곱 검정 / Cramér's V,6.986888477764621,0.03039600058640838,0.024602687924697168,0.00409385011764913,160.0,57.0,217.0,True
108,k7q31,학교·사회생활,8664,0.2518780761592263,2,카이제곱 검정 / Cramér's V,18.084687618441393,2.1129383514006116e-05,0.04568738318986902,0.002986044066924204,126.0,93.0,219.0,True
109,bedtime,생활습관,11525,0.004835506432950498,5,카이제곱 검정 / Cramér's V,12.518649636571867,0.01388372491865103,0.03295780466302029,0.003546562572514868,146.0,74.0,220.0,True
110,decisions_r,기타 설문 항목,10146,0.12390985234435714,2,카이제곱 검정 / Cramér's V,17.261585773417796,3.25705407280732e-05,0.041247052201797973,0.003064393814269477,132.0,89.0,221.0,True
111,k5q44,건강·의료 관련,10109,0.12710474052327092,4,카이제곱 검정 / Cramér's V,40.05259179446477,1.0385059774905043e-08,0.06294499653057992,0.0021865206535532627,105.0,119.0,224.0,True
112,allergies,건강·의료 관련,11556,0.002158708228995776,2,카이제곱 검정 / Cramér's V,22.183147877304158,2.4783966943487353e-06,0.0438134871675363,0.002889903180935537,128.0,97.0,225.0,True
113,a1_sex,가족·가구,11501,0.006907866332786505,2,카이제곱 검정 / Cramér's V,29.519278588315434,5.53632652850924e-08,0.050662319346239354,0.0024429747050812066,119.0,107.0,226.0,True
114,engage_fast,기타 설문 항목,8705,0.24833779466367323,2,카이제곱 검정 / Cramér's V,53.695179659366175,2.3413701583396427e-13,0.07853861930604855,0.001340159222810213,82.0,144.0,226.0,True
115,engage_binge,기타 설문 항목,8674,0.25101459286762806,2,카이제곱 검정 / Cramér's V,74.45313997101903,6.209483852298172e-18,0.0926470937037793,0.0008084584469725293,65.0,164.0,229.0,True
116,bodyimage,기타 설문 항목,8697,0.24902858129695193,3,카이제곱 검정 / Cramér's V,43.49127285395615,3.59741129819439e-10,0.0707157780584267,0.0014176843493599253,90.0,140.0,230.0,True
117,eyedoctor,기타 설문 항목,11552,0.0025041015456350735,2,카이제곱 검정 / Cramér's V,14.455635804752605,0.0001434998248936763,0.035374475472497766,0.0030371912875901586,142.0,90.0,232.0,True
118,hhlanguage,가족·가구,11530,0.004403764787151321,3,카이제곱 검정 / Cramér's V,18.838835023681696,8.11332647138809e-05,0.04042149461221488,0.0027050315421691925,133.0,99.0,232.0,True
119,k10q23,주거·동네·경제,11552,0.0025041015456350735,2,카이제곱 검정 / Cramér's V,52.064510897426395,5.370686924321185e-13,0.06713396631841055,0.0015941397956297902,96.0,137.0,233.0,True
120,k5q10,건강·의료 관련,11541,0.003453933166393197,2,카이제곱 검정 / Cramér's V,32.162074947098596,1.4183245395848565e-08,0.05278983557528599,0.0021883466052474215,116.0,118.0,234.0,True
121,k10q22,주거·동네·경제,11543,0.0032812365080735484,2,카이제곱 검정 / Cramér's V,40.823052506274884,1.666555344366e-10,0.05946937714932397,0.001965460187396603,111.0,125.0,236.0,True
122,evalfasd,기타 설문 항목,11555,0.002245056558155545,3,카이제곱 검정 / Cramér's V,112.18974450237542,4.348170029275057e-25,0.0985352458658033,0.0005155896521848651,59.0,177.0,236.0,True
123,engage_interest,기타 설문 항목,8705,0.24833779466367323,2,카이제곱 검정 / Cramér's V,34.778675167194464,3.6939753683917313e-09,0.06320801173525216,0.0016713134793543954,103.0,135.0,238.0,True
124,k10q20,주거·동네·경제,11545,0.0031085398497538996,2,카이제곱 검정 / Cramér's V,23.803281794484956,1.0670038339521709e-06,0.04540685791044887,0.002189302674420017,127.0,117.0,244.0,True
125,s9q34,경제·지원,11513,0.005871686382868502,2,카이제곱 검정 / Cramér's V,47.65540960587107,5.08118334774767e-12,0.06433715479547722,0.001266971650268373,100.0,147.0,247.0,True
126,visionexamrec,기타 설문 항목,7910,0.31698471634573866,2,카이제곱 검정 / Cramér's V,20.66973886160109,5.457168139711883e-06,0.0511186355483872,0.001785136630178181,118.0,131.0,249.0,True
127,toothaches,기타 설문 항목,11501,0.006907866332786505,2,카이제곱 검정 / Cramér's V,52.61445340095718,4.0589113257626087e-13,0.06763706125111568,0.00103300404707335,95.0,155.0,250.0,True
128,k3q22,기타 설문 항목,10988,0.051204559191779686,4,카이제곱 검정 / Cramér's V,13.306620284882918,0.004018330566414384,0.034799624411757546,0.002368130666839931,144.0,111.0,255.0,True
129,repeated,기타 설문 항목,8680,0.250496502892669,2,카이제곱 검정 / Cramér's V,49.04713676213456,2.49884725476538e-12,0.07517041833642171,0.0005712551998145919,85.0,174.0,259.0,True
130,k3q20,기타 설문 항목,10995,0.05060012088766086,4,카이제곱 검정 / Cramér's V,4.380047650093411,0.2232425795245773,0.019959138909790657,0.0029671611980175015,167.0,95.0,262.0,False
131,wgtconc,기타 설문 항목,11546,0.0030221915205941308,3,카이제곱 검정 / Cramér's V,25.67063354107373,2.664972630083135e-06,0.04715226040104458,0.0013799921202828419,124.0,141.0,265.0,True
132,docroom,기타 설문 항목,10180,0.12097400915292289,3,카이제곱 검정 / Cramér's V,2.3452808791852227,0.3095485170808393,0.015178314328447849,0.002972793790840284,174.0,94.0,268.0,False
133,k10q11,주거·동네·경제,11562,0.0016406182540368297,2,카이제곱 검정 / Cramér's V,6.768027951627005,0.009280532741581646,0.024194385117235158,0.0024474748757421115,162.0,106.0,268.0,True
134,videophone,기타 설문 항목,11523,0.005008203091270147,2,카이제곱 검정 / Cramér's V,17.267678406689015,3.246626831975431e-05,0.03871098258131334,0.001704770529134226,136.0,133.0,269.0,True
135,dentalserv4,건강·의료 관련,10471,0.09584664536741216,2,카이제곱 검정 / Cramér's V,0.6197673752225037,0.43113374390449366,0.007693434767257743,0.0031589506020120116,185.0,85.0,270.0,False
136,gowhensick,기타 설문 항목,9590,0.17191952335722305,8,카이제곱 검정 / Cramér's V,21.83435851550254,0.002712904766607653,0.047715657758853273,0.0012553458972119698,123.0,148.0,271.0,True
